"","age","sumcal","openness","aoristic_sum","dendro"
"1",3050,0.0668223350490852,0.208384980022095,1.5927065652457,0
"2",3100,0.0744855063568529,0.242881760856969,1.5927065652457,0
"3",3150,0.0761141002851566,0.281868029826933,1.5927065652457,0
"4",3200,0.079103651984539,0.290201574295917,1.5927065652457,0.02
"5",3250,0.0766074144141138,0.340102162428873,1.5927065652457,0
"6",3300,0.0773998055303304,0.343925688415295,1.14760753183752,0
"7",3350,0.0821846023366796,0.308968435966276,1.14760753183752,0
"8",3400,0.0699065330087094,0.314034077384573,1.14760753183752,0
"9",3450,0.0720672562027583,0.344624228842466,1.14760753183752,0
"10",3500,0.086024534727993,0.280680368956648,1.14760753183752,0.1
"11",3550,0.0864665483543727,0.240770602158218,0.552487452135044,1.9
"12",3600,0.0830444533221407,0.246534209443858,0.552487452135044,1.04
"13",3650,0.0792564909393862,0.25153815896203,0.552487452135044,0
"14",3700,0.0676311060798496,0.275499947443293,0.552487452135044,0.36
"15",3750,0.0546858136622713,0.302162679771665,0.552487452135044,0.02
"16",3800,0.0569767114531761,0.214063575820924,0.552487452135044,0
"17",3850,0.0516028626013512,0.22875215415556,0.552487452135044,0
"18",3900,0.0396282053456116,0.215398897196638,0.552487452135044,0
"19",3950,0.031508932191269,0.140657882475064,0.552487452135044,0
"20",4000,0.0271735041769948,0.141423917515068,0.552487452135044,0
"21",4050,0.0272556374112391,0.202031563130766,0.552487452135044,0
"22",4100,0.0296487252277414,0.220653355744045,0.552487452135044,0
"23",4150,0.0339252308142091,0.148148299533157,0.552487452135044,0
"24",4200,0.0391321163651734,0.154931912235077,0.658218280844478,0
"25",4250,0.0411541399484734,0.126431788229156,0.658218280844478,0
"26",4300,0.0415224730660376,0.112615711845389,0.658218280844478,0
"27",4350,0.0414509948037783,0.0877944721146868,0.658218280844478,0
"28",4400,0.0408682992328595,0.122513325128385,0.658218280844478,1.14
"29",4450,0.0495772279145174,0.141062476427282,0.658218280844478,2.82
"30",4500,0.0457080635825057,0.145163540927374,0.658218280844478,3.68
"31",4550,0.0513643764540747,0.128273642386804,0.658218280844478,4.56
"32",4600,0.0532194794621816,0.1761694591877,0.658218280844478,5.04
"33",4650,0.063089590352656,0.232560869553101,0.658218280844478,7.38
"34",4700,0.0629660545224582,0.240455539516517,0.658218280844478,9.98
"35",4750,0.0639068965091983,0.304712832299662,0.585803573681801,4.32
"36",4800,0.0606687060410356,0.299462802154392,0.585803573681801,3.18
"37",4850,0.0707342976086496,0.269143447281489,0.585803573681801,1.52
"38",4900,0.0619403755202354,0.283473503243227,0.585803573681801,1.76
"39",4950,0.061840906476474,0.260374215586333,0.585803573681801,3.7
"40",5000,0.0480856331180009,0.227507895853357,0.585803573681801,3.64
"41",5050,0.0416616670609307,0.197560354681248,0.585803573681801,4.08
"42",5100,0.0366591228405065,0.135159728821337,0.585803573681801,6.32
"43",5150,0.0362526937900269,0.111661900363634,0.585803573681801,1.54
"44",5200,0.0386266128485934,0.106474552911386,0.585803573681801,0.44
"45",5250,0.0380118812144151,0.0660375888076583,0.585803573681801,0.24
"46",5300,0.0360618533620631,0.148150600654768,0.585803573681801,1
"47",5350,0.0441726074501846,0.252045558823697,0.585803573681801,1.62
"48",5400,0.0397894285192313,0.218854659976153,0.585803573681801,0.12
"49",5450,0.041097989636988,0.101743461736105,0.585803573681801,1.24
"50",5500,0.050443183840466,0.0492065097673437,0.471244421739471,3.26
"51",5550,0.0479272289894106,0.118121327632894,0.471244421739471,2.86
"52",5600,0.0657384483052275,0.119418131250661,0.471244421739471,2.02
"53",5650,0.0699923613786887,0.142334031591107,0.471244421739471,2.48
"54",5700,0.0661243222683454,0.125863453167218,0.471244421739471,0.12
"55",5750,0.06823890448984,0.0703610253412254,0.471244421739471,2
"56",5800,0.0708231990806981,-0.00187652396317576,0.471244421739471,5.04
"57",5850,0.0690554787959563,-0.0055375055151406,0.471244421739471,0.78
